Date,^GSPC,^RUT
2021-12-17,4620.64013671875,2173.929931640625
2021-12-20,4568.02001953125,2139.8701171875
2021-12-21,4649.22998046875,2202.949951171875
2021-12-22,4696.56005859375,2221.89990234375
2021-12-23,4725.7900390625,2241.580078125
2021-12-27,4791.18994140625,2261.4599609375
2021-12-28,4786.35009765625,2246.510009765625
2021-12-29,4793.06005859375,2249.239990234375
2021-12-30,4778.72998046875,2248.7900390625
2021-12-31,4766.18017578125,2245.31005859375
2022-01-03,4796.56005859375,2272.56005859375
2022-01-04,4793.5400390625,2268.8701171875
2022-01-05,4700.580078125,2194.0
2022-01-06,4696.0498046875,2206.3701171875
2022-01-07,4677.02978515625,2179.81005859375
2022-01-10,4670.2900390625,2171.14990234375
2022-01-11,4713.06982421875,2194.0
2022-01-12,4726.35009765625,2176.06005859375
2022-01-13,4659.02978515625,2159.43994140625
2022-01-14,4662.85009765625,2162.4599609375
2022-01-18,4577.10986328125,2096.22998046875
2022-01-19,4532.759765625,2062.780029296875
2022-01-20,4482.72998046875,2024.0400390625
2022-01-21,4397.93994140625,1987.9200439453125
2022-01-24,4410.1298828125,2033.510009765625
2022-01-25,4356.4501953125,2004.030029296875
2022-01-26,4349.93017578125,1976.4599609375
2022-01-27,4326.509765625,1931.2900390625
2022-01-28,4431.85009765625,1968.510009765625
2022-01-31,4515.5498046875,2028.449951171875
2022-02-01,4546.5400390625,2050.739990234375
2022-02-02,4589.3798828125,2029.52001953125
2022-02-03,4477.43994140625,1991.030029296875
2022-02-04,4500.52978515625,2002.3599853515625
2022-02-07,4483.8701171875,2012.5999755859375
2022-02-08,4521.5400390625,2045.3699951171875
2022-02-09,4587.18017578125,2083.5
2022-02-10,4504.080078125,2051.159912109375
2022-02-11,4418.64013671875,2030.1500244140625
2022-02-14,4401.669921875,2020.7900390625
2022-02-15,4471.06982421875,2076.4599609375
2022-02-16,4475.009765625,2079.31005859375
2022-02-17,4380.259765625,2028.0899658203125
2022-02-18,4348.8701171875,2009.3299560546875
2022-02-22,4304.759765625,1980.1700439453125
2022-02-23,4225.5,1944.0899658203125
2022-02-24,4288.7001953125,1996.010009765625
2022-02-25,4384.64990234375,2040.9300537109375
2022-02-28,4373.93994140625,2048.090087890625
2022-03-01,4306.259765625,2008.510009765625
2022-03-02,4386.5400390625,2058.8701171875
2022-03-03,4363.490234375,2032.4100341796875
2022-03-04,4328.8701171875,2000.9000244140625
2022-03-07,4201.08984375,1951.3299560546875
2022-03-08,4170.7001953125,1963.010009765625
2022-03-09,4277.8798828125,2016.2900390625
2022-03-10,4259.52001953125,2011.6700439453125
2022-03-11,4204.31005859375,1979.6700439453125
2022-03-14,4173.10986328125,1941.719970703125
2022-03-15,4262.4501953125,1968.969970703125
2022-03-16,4357.85986328125,2030.719970703125
2022-03-17,4411.669921875,2065.02001953125
2022-03-18,4463.1201171875,2086.139892578125
2022-03-21,4461.18017578125,2065.93994140625
2022-03-22,4511.60986328125,2088.340087890625
2022-03-23,4456.240234375,2052.2099609375
2022-03-24,4520.16015625,2075.43994140625
2022-03-25,4543.06005859375,2077.97998046875
2022-03-28,4575.52001953125,2078.06005859375
2022-03-29,4631.60009765625,2133.10009765625
2022-03-30,4602.4501953125,2091.070068359375
2022-03-31,4530.41015625,2070.1298828125
2022-04-01,4545.85986328125,2091.110107421875
2022-04-04,4582.64013671875,2095.43994140625
2022-04-05,4525.1201171875,2046.0400390625
2022-04-06,4481.14990234375,2016.93994140625
2022-04-07,4500.2099609375,2009.800048828125
2022-04-08,4488.27978515625,1994.56005859375
2022-04-11,4412.52978515625,1980.3199462890625
2022-04-12,4397.4501953125,1986.93994140625
2022-04-13,4446.58984375,2025.0999755859375
2022-04-14,4392.58984375,2004.97998046875
2022-04-18,4391.68994140625,1990.1300048828125
2022-04-19,4462.2099609375,2030.77001953125
2022-04-20,4459.4501953125,2038.18994140625
2022-04-21,4393.66015625,1991.4599609375
2022-04-22,4271.77978515625,1940.6600341796875
2022-04-25,4296.1201171875,1954.199951171875
2022-04-26,4175.2001953125,1890.469970703125
2022-04-27,4183.9599609375,1884.0400390625
2022-04-28,4287.5,1917.93994140625
2022-04-29,4131.93017578125,1864.0999755859375
2022-05-02,4155.3798828125,1882.9100341796875
2022-05-03,4175.47998046875,1898.8599853515625
2022-05-04,4300.169921875,1949.9200439453125
2022-05-05,4146.8701171875,1871.1500244140625
2022-05-06,4123.33984375,1839.56005859375
2022-05-09,3991.239990234375,1762.0799560546875
2022-05-10,4001.050048828125,1761.7900390625
2022-05-11,3935.179931640625,1718.1400146484375
2022-05-12,3930.080078125,1739.3800048828125
2022-05-13,4023.889892578125,1792.6700439453125
2022-05-16,4008.010009765625,1783.4300537109375
2022-05-17,4088.85009765625,1840.300048828125
2022-05-18,3923.679931640625,1774.8499755859375
2022-05-19,3900.7900390625,1776.219970703125
2022-05-20,3901.360107421875,1773.27001953125
2022-05-23,3973.75,1792.760009765625
2022-05-24,3941.47998046875,1764.8299560546875
2022-05-25,3978.72998046875,1799.1600341796875
2022-05-26,4057.840087890625,1838.239990234375
2022-05-27,4158.240234375,1887.9000244140625
2022-05-31,4132.14990234375,1864.0400390625
2022-06-01,4101.22998046875,1854.8199462890625
2022-06-02,4176.81982421875,1897.6700439453125
2022-06-03,4108.5400390625,1883.050048828125
2022-06-06,4121.43017578125,1889.8900146484375
2022-06-07,4160.68017578125,1919.56005859375
2022-06-08,4115.77001953125,1891.010009765625
2022-06-09,4017.820068359375,1850.8599853515625
2022-06-10,3900.860107421875,1800.280029296875
2022-06-13,3749.6298828125,1714.5899658203125
2022-06-14,3735.47998046875,1707.8299560546875
2022-06-15,3789.989990234375,1731.1400146484375
2022-06-16,3666.77001953125,1649.8399658203125
2022-06-17,3674.840087890625,1665.68994140625
2022-06-21,3764.7900390625,1694.030029296875
2022-06-22,3759.889892578125,1690.280029296875
2022-06-23,3795.72998046875,1711.6700439453125
2022-06-24,3911.739990234375,1765.739990234375
2022-06-27,3900.110107421875,1771.739990234375
2022-06-28,3821.550048828125,1738.8399658203125
2022-06-29,3818.830078125,1719.3699951171875
2022-06-30,3785.3798828125,1707.989990234375
2022-07-01,3825.330078125,1727.760009765625
2022-07-05,3831.389892578125,1741.3299560546875
2022-07-06,3845.080078125,1727.550048828125
2022-07-07,3902.6201171875,1769.5999755859375
2022-07-08,3899.3798828125,1769.3599853515625
2022-07-11,3854.429931640625,1732.010009765625
2022-07-12,3818.800048828125,1728.1800537109375
2022-07-13,3801.780029296875,1726.0400390625
2022-07-14,3790.3798828125,1707.510009765625
2022-07-15,3863.159912109375,1744.3699951171875
2022-07-18,3830.85009765625,1738.4200439453125
2022-07-19,3936.68994140625,1799.3199462890625
2022-07-20,3959.89990234375,1827.949951171875
2022-07-21,3998.949951171875,1836.68994140625
2022-07-22,3961.6298828125,1806.8800048828125
2022-07-25,3966.840087890625,1817.77001953125
2022-07-26,3921.050048828125,1805.25
2022-07-27,4023.610107421875,1848.3399658203125
2022-07-28,4072.429931640625,1873.030029296875
2022-07-29,4130.2900390625,1885.22998046875
2022-08-01,4118.6298828125,1883.31005859375
2022-08-02,4091.18994140625,1882.449951171875
2022-08-03,4155.169921875,1908.9300537109375
2022-08-04,4151.93994140625,1906.4599609375
2022-08-05,4145.18994140625,1921.8199462890625
2022-08-08,4140.06005859375,1941.2099609375
2022-08-09,4122.47021484375,1912.8900146484375
2022-08-10,4210.240234375,1969.25
2022-08-11,4207.27001953125,1975.260009765625
2022-08-12,4280.14990234375,2016.6199951171875
2022-08-15,4297.14013671875,2021.3499755859375
2022-08-16,4305.2001953125,2020.530029296875
2022-08-17,4274.0400390625,1987.31005859375
2022-08-18,4283.740234375,2000.72998046875
2022-08-19,4228.47998046875,1957.3499755859375
2022-08-22,4137.990234375,1915.739990234375
2022-08-23,4128.72998046875,1919.1400146484375
2022-08-24,4140.77001953125,1935.2900390625
2022-08-25,4199.1201171875,1964.6400146484375
2022-08-26,4057.659912109375,1899.8299560546875
2022-08-29,4030.610107421875,1882.93994140625
2022-08-30,3986.159912109375,1855.5899658203125
2022-08-31,3955.0,1844.1199951171875
2022-09-01,3966.85009765625,1822.8199462890625
2022-09-02,3924.260009765625,1809.75
2022-09-06,3908.18994140625,1792.3199462890625
2022-09-07,3979.8701171875,1832.0
2022-09-08,4006.179931640625,1846.9100341796875
2022-09-09,4067.360107421875,1882.8499755859375
2022-09-12,4110.41015625,1906.0899658203125
2022-09-13,3932.68994140625,1831.5699462890625
2022-09-14,3946.010009765625,1838.4599609375
2022-09-15,3901.35009765625,1825.22998046875
2022-09-16,3873.330078125,1798.18994140625
2022-09-19,3899.889892578125,1812.8399658203125
2022-09-20,3855.929931640625,1787.5
2022-09-21,3789.929931640625,1762.1600341796875
2022-09-22,3757.989990234375,1722.31005859375
2022-09-23,3693.22998046875,1679.5899658203125
2022-09-26,3655.0400390625,1655.8800048828125
2022-09-27,3647.2900390625,1662.510009765625
2022-09-28,3719.0400390625,1715.239990234375
2022-09-29,3640.469970703125,1674.9300537109375
2022-09-30,3585.6201171875,1664.719970703125
2022-10-03,3678.429931640625,1708.8699951171875
2022-10-04,3790.929931640625,1775.77001953125
2022-10-05,3783.280029296875,1762.68994140625
2022-10-06,3744.52001953125,1752.510009765625
2022-10-07,3639.659912109375,1702.1500244140625
2022-10-10,3612.389892578125,1691.9200439453125
2022-10-11,3588.840087890625,1692.9200439453125
2022-10-12,3577.030029296875,1687.760009765625
2022-10-13,3669.909912109375,1728.4100341796875
2022-10-14,3583.070068359375,1682.4000244140625
2022-10-17,3677.949951171875,1735.75
2022-10-18,3719.97998046875,1755.9599609375
2022-10-19,3695.159912109375,1725.760009765625
2022-10-20,3665.780029296875,1704.3900146484375
2022-10-21,3752.75,1742.239990234375
2022-10-24,3797.340087890625,1748.4000244140625
2022-10-25,3859.110107421875,1796.1600341796875
2022-10-26,3830.60009765625,1804.3299560546875
2022-10-27,3807.300048828125,1806.3199462890625
